k	Result
0.1	0.6260956674179812
0.2	0.44515669515669504
0.30000000000000004	0.3251186683139345
0.4	0.24295432458697763
0.5	0.18518518518518515
0.6	0.14361213235294115
0.7000000000000001	0.11307868014564526
0.8	0.090246191610714
0.9	0.07289692374981775
1.0	0.05952380952380952
1.1	0.04908168173474295
1.2000000000000002	0.040832326135955305
1.3000000000000003	0.0342456371058327
1.4000000000000001	0.02893518518518517
1.5000000000000002	0.024615384615384615
1.6	0.02107250627960687
1.7000000000000002	0.01814473693760387
1.8000000000000003	0.01570825374484769
1.9000000000000001	0.013667363702215475
2.0	0.011947431302270009
2.1	0.010489745225067975
2.2	0.009247750946969694
2.3000000000000003	0.008184257090431125
2.4000000000000004	0.007269343723648626
2.5000000000000004	0.006478781988986068
2.6	0.0057928298669039395
2.7	0.005195307182927803
2.8000000000000003	0.004672879727552419
2.9000000000000004	0.0042145012559213725
3.0000000000000004	0.0038109756097560983
